Smileys & Emotion
😀
😃
😄
😁
😆
😅
🤣
😂
🙂
🙃
🫠,,14
😉
😊
😇
🥰
😍
🤩
😘
😗
☺️
😚
😙
🥲,,13
😋
😛
😜
🤪
😝
🤑
🤗
🤭
🫢,,14
🫣,,14
🤫
🤔
🫡,,14
🤐
🤨
😐
😑
😶
🫥,,14
😶‍🌫️,,13.1
😏
😒
🙄
😬
😮‍💨,,13.1
🤥
🫨,,15
😌
😔
😪
🤤
😴
😷
🤒
🤕
🤢
🤮
🤧
🥵
🥶
🥴
😵
😵‍💫,,13.1
🤯
🤠
🥳
🥸,,13
😎
🤓
🧐
😕
🫤,,14
😟
🙁
☹️
😮
😯
😲
😳
🥺
🥹,,14
😦
😧
😨
😰
😥
😢
😭
😱
😖
😣
😞
😓
😩
😫
🥱,,12
😤
😡
😠
🤬
😈
👿
💀
☠️
💩
🤡
👹
👺
👻
👽
👾
🤖
😺
😸
😹
😻
😼
😽
🙀
😿
😾
🙈
🙉
🙊
💌
💘
💝
💖
💗
💓
💞
💕
💟
❣️
💔
❤️‍🔥,,13.1
❤️‍🩹,,13.1
❤️
🩷,,15
🧡
💛
💚
💙
🩵,,15
💜
🤎,,12
🖤
🩶,,15
🤍,,12
💋
💯
💢
💥
💫
💦
💨
🕳️
💬
👁️‍🗨️
🗨️
🗯️
💭
💤

People & Body,1
👋,1
🤚,1
🖐️,1
✋,1
🖖,1
🫱,1,14
🫲,1,14
🫳,1,14
🫴,1,14
🫷,1,15
🫸,1,15
👌,1
🤌,1,13
🤏,1,12
✌️,1
🤞,1
🫰,1,14
🤟,1
🤘,1
🤙,1
👈,1
👉,1
👆,1
🖕,1
👇,1
☝️,1
🫵,1,14
👍,1
👎,1
✊,1
👊,1
🤛,1
🤜,1
👏,1
🙌,1
🫶,1,14
👐,1
🤲,1
🤝,🫱🏻‍🫲🏿,,14
🙏,1
✍️,1
💅,1
🤳,1
💪,1
🦾,,12
🦿,,12
🦵,1
🦶,1
👂,1
🦻,1,12
👃,1
🧠
🫀,,13
🫁,,13
🦷
🦴
👀
👁️
👅
👄
🫦,,14
👶,1
🧒,1
👦,1
👧,1
🧑,1
👱,1
👨,1
🧔,1
🧔‍♂️,1,13.1
🧔‍♀️,1,13.1
👨‍🦰,1
👨‍🦱,1
👨‍🦳,1
👨‍🦲,1
👩,1
👩‍🦰,1
🧑‍🦰,1,12.1
👩‍🦱,1
🧑‍🦱,1,12.1
👩‍🦳,1
🧑‍🦳,1,12.1
👩‍🦲,1
🧑‍🦲,1,12.1
👱‍♀️,1
👱‍♂️,1
🧓,1
👴,1
👵,1
🙍,1
🙍‍♂️,1
🙍‍♀️,1
🙎,1
🙎‍♂️,1
🙎‍♀️,1
🙅,1
🙅‍♂️,1
🙅‍♀️,1
🙆,1
🙆‍♂️,1
🙆‍♀️,1
💁,1
💁‍♂️,1
💁‍♀️,1
🙋,1
🙋‍♂️,1
🙋‍♀️,1
🧏,1,12
🧏‍♂️,1,12
🧏‍♀️,1,12
🙇,1
🙇‍♂️,1
🙇‍♀️,1
🤦,1
🤦‍♂️,1
🤦‍♀️,1
🤷,1
🤷‍♂️,1
🤷‍♀️,1
